lokacija	broj_soba	kvadratura	sprat	novogradnja	centralno_grejanje	lift	parking	uknjizen	stanje	cena	klasa
Beli dvor	2	60	I-II		DA			DA		1633.333333	1.5-1.7K
Vračar-Kalenić pijaca	3	79	I-II	NE	DA			DA	1	1632.911392	1.5-1.7K
Beli dvor	1	38	I-II		DA		DA	DA		1631.578947	1.5-1.7K
Vračar-Kalenić pijaca	1	38	III-IV	NE	NE	DA		DA	1	1631.578947	1.5-1.7K
Vukov Spomenik	3	71	I-II	DA	DA	DA	DA	DA	2	1631.408451	1.5-1.7K
Vukov Spomenik	3	84	P	NE	DA	DA		DA	1	1630.952381	1.5-1.7K
Novi Beograd-Opština	3	73	V+	NE	DA	DA	NE	DA	2	1630.136986	1.5-1.7K
Djeram pijaca 	4	116	V+	DA	DA	DA	NE	DA	2	1629.310345	1.5-1.7K
Crveni krst	4	62	I-II	DA	DA	NE	NE		1	1629.032258	1.5-1.7K
Konjarnik-Denkova basta 	1	25	III-IV	DA	NE				1	1628	1.5-1.7K
Golf naselje	4	129	P	DA	DA	DA	DA	DA	2	1627.906977	1.5-1.7K
Slavija	3	86	I-II	NE	NE	DA	DA	DA	2	1627.906977	1.5-1.7K
Donji Dorćol	3	83	III-IV		DA			DA		1626.506024	1.5-1.7K
Vračar-Kalenić pijaca	2	43	III-IV	DA	DA	DA	DA	DA	2	1625.581395	1.5-1.7K
Beli dvor	3	64	I-II		DA		DA	DA		1625	1.5-1.7K
Crveni krst	1	40	I-II		NE		NE	DA		1625	1.5-1.7K
Djeram pijaca 	1	32	I-II		DA	DA	NE			1625	1.5-1.7K
Slavija	2	40	V+	NE	NE	DA		DA	1	1625	1.5-1.7K
Novi Beograd-Hotel Jugoslavija	2	40	III-IV	NE	DA			DA	2	1622.5	1.5-1.7K
Tašmajdan	4	90	V+	NE	DA	DA	DA	DA	1	1622.222222	1.5-1.7K
Novi Beograd-Fontana	1	37	V+		DA	DA	NE	DA	0	1621.621622	1.5-1.7K
Konjarnik-Denkova basta 	2	50	V+	NE	DA	DA		DA	1	1620	1.5-1.7K
Vračar-Hram	4	92	I-II	NE	DA			DA	0	1619.565217	1.5-1.7K
Slavija	2	42	P	NE	NE	DA		DA	1	1619.047619	1.5-1.7K
